Source	ObsID QPO0_freq QPO0_pos_err QPO0_neg_err QPO0_FWHM QPO0_FWHM_pos_err QPO0_FWHM_neg_err QPO0_IP  QPO0_IP_pos_err  QPO0_IP_neg_err Sig. QPO1_freq QPO1_pos_err QPO1_neg_err QPO1_FWHM QPO1_FWHM_pos_err QPO1_FWHM_neg_err QPO1_IP  QPO1_IP_pos_err  QPO1_IP_neg_err Sig. QPO2_freq QPO2_pos_err QPO2_neg_err QPO2_FWHM QPO2_FWHM_pos_err QPO2_FWHM_neg_err QPO2_IP QPO2_IP_pos_err QPO2_IP_neg_err Sig. QPO3_freq QPO3_pos_err QPO3_neg_err QPO3_FWHM QPO3_FWHM_pos_err QPO3_FWHM_neg_err QPO3_IP QPO3_IP_pos_err  QPO3_IP_neg_err Sig. Type 1st_time last_time
XTEJ1550-564 30191-01-18-00 1.67550135E+00 1.62307452E-02 1.60751268E-02 5.11112511E-01 5.68858199E-02 5.14954440E-02 2.61110696E-03 2.57662294E-04 2.32855818E-04 11.2134 3.39751244E+00 4.16628039E-03 4.11516940E-03 3.82239342E-01 1.26006473E-02 1.07203294E-02 1.95116587E-02 4.18652839E-04 3.69966263E-04 52.739 6.72901535E+00 1.73124503E-02 1.69010293E-02 8.77738893E-01 5.67415580E-02 5.48622422E-02 2.11835350E-03 1.14825372E-04 1.13233051E-04 18.7079 - - - - - - - - - - C 0.0 5784.0
XTEJ1550-564 30191-01-27-00 2.49285722E+00 3.69256847E-02 3.99019867E-02 7.87158966E-01 1.04192153E-01 9.44998562E-02 3.10945138E-03 4.05182451E-04 3.81242164E-04 8.15611 5.00427580E+00 8.92550871E-03 8.95936880E-03 4.50055569E-01 2.70973034E-02 2.64135040E-02 1.25603257E-02 4.38828545E-04 4.64189419E-04 27.0586 9.92093945E+00 3.04309428E-02 3.02676745E-02 7.13916898E-01 1.02098323E-01 8.00972581E-02 8.59395368E-04 9.06933274E-05 7.43487035E-05 11.559 - - - - - - - - - - C 0.0 1136.0
XTEJ1550-564 30191-01-27-01 2.25906062E+00 2.93502025E-02 2.79055107E-02 6.72335565E-01 9.94329378E-02 8.61442387E-02 3.38032027E-03 4.45780228E-04 4.04798542E-04 8.35062 4.48504829E+00 8.08714237E-03 8.06663185E-03 4.05116946E-01 2.84758508E-02 2.39523631E-02 1.47038950E-02 5.86566573E-04 5.28927078E-04 27.7995 8.94498253E+00 3.63726467E-02 3.46823633E-02 7.87413418E-01 1.09457813E-01 9.87456739E-02 1.14662596E-03 1.18290656E-04 1.18116543E-04 9.70758 - - - - - - - - - - C 0.0 1120.0
XTEJ1550-564 30191-01-28-00 2.08092952E+00 3.14458311E-02 3.26525345E-02 6.07249141E-01 1.17784813E-01 1.17304869E-01 3.12662427E-03 5.29423589E-04 5.70704229E-04 5.47854 4.19773149E+00 9.61248577E-03 9.33008175E-03 3.94693464E-01 2.42548212E-02 2.47556064E-02 1.66907739E-02 6.70505746E-04 7.44237856E-04 22.4267 8.37576294E+00 3.63289304E-02 3.38039584E-02 8.16137195E-01 1.13605618E-01 9.09757689E-02 1.59945793E-03 1.74525296E-04 1.45510232E-04 10.9921 - - - - - - - - - - C 0.0 942.0
XTEJ1550-564 30191-01-28-01 2.35803437E+00 3.29103321E-02 3.49515714E-02 7.35459685E-01 9.78463292E-02 9.35118794E-02 2.97035463E-03 3.82152619E-04 3.78469995E-04 7.84832 4.74467707E+00 8.65213573E-03 8.55910778E-03 4.41298902E-01 2.21366342E-02 2.26884037E-02 1.41123552E-02 4.54202032E-04 4.96384164E-04 28.4303 9.45869827E+00 3.70224863E-02 3.65478545E-02 9.99495029E-01 1.20002955E-01 1.04115769E-01 1.20038702E-03 1.18416589E-04 1.07257845E-04 11.1916 - - - - - - - - - - C 0.0 1264.0
XTEJ1550-564 30191-01-28-02 2.50829411E+00 2.46074162E-02 2.46753749E-02 6.48654997E-01 8.55293944E-02 7.09083602E-02 3.27103492E-03 3.60961800E-04 3.00768588E-04 10.8756 4.97442436E+00 8.31833668E-03 8.18804558E-03 5.11616170E-01 2.62683183E-02 2.28068940E-02 1.31857442E-02 4.14464943E-04 3.67264380E-04 35.9026 9.94114876E+00 3.92162167E-02 3.48083712E-02 1.06882572E+00 1.44332394E-01 1.22852176E-01 1.01725874E-03 1.03706545E-04 1.01360667E-04 10.036 - - - - - - - - - - C 0.0 1611.0
XTEJ1550-564 30191-01-29-00 2.41876507E+00 2.89596543E-02 3.12610306E-02 6.88100398E-01 7.93751329E-02 7.43928179E-02 3.42682051E-03 3.48704809E-04 3.43815831E-04 9.96702 4.86430645E+00 9.15151462E-03 9.04727634E-03 4.82243389E-01 2.62693297E-02 2.59492323E-02 1.28017608E-02 4.10576817E-04 4.35039459E-04 29.4267 9.77686214E+00 4.36699651E-02 4.25326861E-02 1.07802415E+00 1.21863373E-01 1.13852300E-01 1.08349323E-03 1.06902728E-04 1.02747370E-04 10.5452 - - - - - - - - - - C 0.0 1342.0
XTEJ1550-564 30191-01-29-01 2.61127281E+00 5.26133515E-02 6.02038652E-02 9.13396835E-01 1.99639305E-01 1.73634544E-01 3.48998350E-03 8.03033647E-04 7.32874207E-04 4.76205 5.09575462E+00 1.28973350E-02 1.28727183E-02 4.43753272E-01 3.79248187E-02 3.80138941E-02 1.12809734E-02 5.51363628E-04 6.19773462E-04 18.2018 1.02065945E+01 6.55049309E-02 6.56792596E-02 1.09146583E+00 1.77900270E-01 1.60147041E-01 1.00205303E-03 1.41385593E-04 1.33113848E-04 7.52779 - - - - - - - - - - C 0.0 576.0
XTEJ1550-564 30191-01-29-01-2 2.47729349E+00 3.61861475E-02 3.66238058E-02 8.06701720E-01 1.33161321E-01 1.16765954E-01 3.16918292E-03 4.91783430E-04 4.39165451E-04 7.21638 4.99127960E+00 1.03247976E-02 1.03905024E-02 4.27150369E-01 2.92489044E-02 2.96818428E-02 1.17168389E-02 4.62796568E-04 4.94613487E-04 23.6889 1.00144444E+01 4.10299525E-02 3.80675457E-02 8.68505478E-01 1.41260773E-01 1.16409600E-01 9.73012182E-04 1.09007429E-04 9.86813538E-05 9.86014 - - - - - - - - - - C 2374.0 3430.0
XTEJ1550-564 30191-01-29-01-3 2.37907672E+00 3.68011333E-02 3.84971388E-02 7.37875342E-01 1.12305306E-01 1.01141527E-01 4.37606918E-03 5.66208677E-04 5.39364235E-04 8.11338 4.75523758E+00 1.43410480E-02 1.39394244E-02 5.12466311E-01 4.17023413E-02 3.84325236E-02 1.43693229E-02 7.11187255E-04 7.17781077E-04 20.0191 9.49541759E+00 7.07069561E-02 6.81488067E-02 1.16912317E+00 1.83185741E-01 1.61419541E-01 1.35836715E-03 1.93810018E-04 1.84067118E-04 7.37974 - - - - - - - - - - C 5760.0 6336.0
